DATE,STATE,COUNTY (TOP 3),TOTAL CASES,TOTAL DEATHS,NEW CASES,NEW DEATHS,TESTS PERFORMED THAT DAY,TOTAL TESTS PERFORMED,,,,
,,HUDSON,18051,1137,74,-2,,,,,,
,,ESSEX,17202,1595,60,0,,,,,,
,,UNION,15218,1024,49,-1,,,,,,
,,PASSAIC,15774,891,88,1,,,,,,
,MA,SUFFOLK,17480,838,63,0,8188,540561,,,,
,,MIDDLESEX,20539,1518,102,0,,,,,,
,,ESSEX,13575,859,118,0,,,,,,
,,NORFOLK,7844,782,32,0,,,,,,
,,WORCESTER,10505,679,74,0,,,,,,
,MI,WAYNE,19816,2364,45,5,21628,472860,,,,
,,OAKLAND,8226,955,11,0,,,,,,
,,MACOMB,6516,778,17,0,,,,,,
,,GENESEE,1961,242,13,2,,,,,,
,,WASHTENAW,1298,96,4,0,,,,,,
,PA,PHILADELPHIA,17495,1235,111,2,7019,403114,,,,
,,MONTGOMERY,6576,633,51,0,,,,,,
,,DELEWARE,6210,524,31,3,,,,,,
,,LEHIGH,3667,209,16,3,,,,,,
,,BERKS,3903,296,18,0,,,,,,
,CA,LOS ANGELES,45952,2116,998,12,52294,1696396,,,,
,,SAN DIEGO,6799,275,96,0,,,,,,
,,RIVERSIDE,6900,309,329,5,,,,,,
,,SANTA CLARA,2647,140,24,1,,,,,,
,,ORANGE,5601,131,162,0,,,,,,
26-May,NY,QUEENS,60960,3905,132,5,34679,1774128,,,,
,,KINGS,54560,4384,200,9,,,,,,
,,NASSAU,39974,2601,67,4,,,,,,
,,BRONX,44364,2938,117,6,,,,,,
,,SUFFOLK,39199,19000,109,17112,,,,,,
,NJ,BERGEN,17963,1528,62,3,12095,635892,,,,
,,HUDSON,18096,1143,45,6,,,,,,
,,ESSEX,17255,1605,53,10,,,,,,
,,UNION,15293,1030,75,6,,,,,,
,,PASSAIC,15826,892,52,1,,,,,,
,MA,SUFFOLK,17533,844,53,6,4920,545481,,,,
,,MIDDLESEX,20601,1535,62,17,,,,,,
,,ESSEX,13670,870,95,11,,,,,,
,,NORFOLK,7863,791,19,9,,,,,,
,,WORCESTER,10557,700,52,21,,,,,,
,MI,WAYNE,19926,2368,110,4,11419,484279,,,,
,,OAKLAND,8240,958,14,3,,,,,,
,,MACOMB,6528,779,12,1,,,,,,
,,GENESEE,1964,245,3,3,,,,,,
,,WASHTENAW,1301,96,3,0,,,,,,
,PA,PHILADELPHIA,17597,1243,102,8,5358,408472,,,,
,,MONTGOMERY,6598,635,22,2,,,,,,
,,DELEWARE,6243,524,33,0,,,,,,
,,LEHIGH,3676,210,9,1,,,,,,
,,BERKS,3919,296,16,0,,,,,,
,CA,LOS ANGELES,,,,,,,,,,
,,SAN DIEGO,,,,,,,,,,
,,RIVERSIDE,,,,,,,,,,
,,SANTA CLARA,,,,,,,,,,
,,ORANGE,,,,,,,,,,
